,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,MA5,MA20,MA60,EMA5,EMA20,EMA60
2018-02-06,22.8,23.55,22.29,22.2,55555.0,-0.97,-4.17,22.864,23.607,24.029,51341.63,64413.58,75738.95,1.39,21.504000000000005,,,21.833928748879206,21.973881647333897,22.08722494147813
2018-02-05,22.45,23.39,23.27,22.25,52341.39,0.65,2.87,23.171999999999997,23.928,24.112,46714.72,69278.66,77070.0,1.31,21.920000000000005,,,22.316337255496876,22.15044945881841,22.204843829528116
2018-02-02,22.4,22.7,22.62,21.53,33242.11,0.2,0.89,23.272,24.114,24.184,49340.4,70873.73,79929.71,0.83,22.372000000000007,,,22.41808095296038,22.211896735082927,22.243548370096903
2018-02-01,23.71,23.86,22.42,22.22,66414.64,-1.3,-5.48,23.646,24.365,24.279,52812.35,80394.43,88480.92,1.66,22.480000000000008,,,22.418722834062542,22.2381931332802,22.25906113389903
2018-01-31,23.85,23.98,23.72,23.31,49155.02,-0.11,-0.46,24.035999999999998,24.583000000000002,24.410999999999998,60348.94,80496.48,91666.75,1.23,22.864000000000008,,,22.853474714097146,22.419785677387573,22.380789084271633
2018-01-30,23.71,24.08,23.83,23.7,32420.43,0.05,0.21,24.35,24.671,24.365,77485.53,84805.23,92943.35,0.81,23.172000000000008,,,23.179479465026386,22.58801048265616,22.495731256969496
2018-01-29,24.4,24.63,23.77,23.72,65469.81,-0.73,-2.98,24.684,24.728,24.294,91842.6,91692.73,93456.22,1.64,23.272000000000013,,,23.376519631085536,22.725698601493278,22.5923048758559
2018-01-26,24.27,24.74,24.49,24.22,50601.83,0.11,0.45,24.956,24.694000000000003,24.221,92407.05,92122.56,91980.51,1.27,23.646000000000008,,,23.74793106569871,22.926942815282352,22.730196967927103
2018-01-25,24.99,24.99,24.37,24.23,104097.59,-0.93,-3.68,25.084,24.669,24.109,107976.51,99092.73,92262.67,2.61,24.03600000000001,,,23.955380956323857,23.088502858112,22.84478071743553
2018-01-24,25.49,26.28,25.29,25.2,134838.0,-0.2,-0.79,25.13,24.599,23.997,100644.02,93535.55,89522.22,3.37,24.350000000000012,22.8745,,24.400387797193442,23.330922461962057,23.009533537623557
